mamal,PredictedTaxid,PredictedSpecies,common_names,Family
sheep,9940,ovis_aries_rambouillet,sheep,Bovidae
beluga whale,9749,delphinapterus_leucas,beluga whale,Monodontidae
house mouse,10090,mus_musculus,house mouse,Muridae
vaquita,42100,phocoena_sinus,vaquita,Phocoenidae
large flying fox,132908,pteropus_vampyrus,large flying fox,Pteropodidae
greater horseshoe,,,,
bat,59479,rhinolophus_ferrumequinum,greater horseshoe bat,Rhinolophidae
little brown bat,59463,myotis_lucifugus,little brown bat,Vespertilionidae
